Geneid	Chr	Start	End	Strand	Length	./NV-Ctrl1.sam	./NV-Ctrl2.sam	./NV-Ctrl3.sam	./NV-Ctrl4.sam	./NV-Ctrl5.sam	./NV-Oxi1.sam	./NV-Oxi2.sam	./NV-Oxi3.sam	./NV-Oxi4.sam	./NV-Oxi5.sam		Average Ctrl	Average Oxi	Percentage Oxi	Ctrl Percentage
gene2994	CP007536.1	2381365	2381922	-	558	107336	97670	95342	115713	104184	1652	1532	897	1112	1493		104049	1337.2		
gene857	CP007536.1	662520	663644	+	1125	6097	5548	5245	5446	6203	1470	1514	1239	1015	1281		5707.8	1303.8		
gene1111	CP007536.1	892626	894095	-	1470	12	22	40	31	20	24	0	7	6404	0		25	1287		
gene1331	CP007536.1	1064182	1064928	+	747	2259	1930	1696	1762	1993	1376	1135	1422	780	1480		1928	1238.6		
gene1521	CP007536.1	1219396	1220088	+	693	7877	6743	5127	9395	5313	1582	759	662	1640	1362		6891	1201		
gene1054	CP007536.1	842464	843156	+	693	800	697	604	1336	1067	448	829	2204	478	1950		900.8	1181.8		
gene1432	CP007536.1	1142680	1146648	-	3969	84668	73008	64352	67226	81658	601	1287	1637	477	1696		74182.4	1139.6		
gene2454	CP007536.1	1959721	1961331	-	1611	6375	5332	5112	5351	5704	1414	1021	1069	978	1143		5574.8	1125		
gene1368	CP007536.1	1095019	1097181	+	2163	768	584	619	845	631	1417	983	959	1581	571		689.4	1102.2		
gene3007	CP007536.1	2389349	2390599	-	1251	8657	8709	6439	3045	8227	1430	836	917	1259	976		7015.4	1083.6		
gene1524	CP007536.1	1221190	1222017	-	828	52352	48528	41799	49943	53212	1294	1249	644	900	1243		49166.8	1066		
gene2530	CP007536.1	2021752	2023590	+	1839	30823	26216	22830	23099	27249	1418	1064	871	715	1128		26043.4	1039.2		
gene1358	CP007536.1	1085257	1086006	+	750	1088	1031	899	950	1108	1644	984	767	735	922		1015.2	1010.4		
gene1962	CP007536.1	1571930	1573654	+	1725	720	560	532	789	601	958	908	973	879	1234		640.4	990.4		
gene86	CP007536.1	65194	65670	-	477	395	391	343	339	457	769	1029	1215	756	1166		385	987		
gene2585	CP007536.1	2064669	2065955	+	1287	1522	1298	1181	1524	1389	1022	1270	917	662	924		1382.8	959		
gene3106	CP007536.1	2470892	2471869	+	978	7139	6355	5440	6238	6443	1077	1177	794	981	703		6323	946.4		
gene686	CP007536.1	531341	531517	-	177	6886	7200	5103	5620	6442	1020	1049	714	774	1165		6250.2	944.4		
gene2608	CP007536.1	2084662	2086377	-	1716	33182	28646	39060	31117	26071	1531	1690	323	385	782		31615.2	942.2		
gene2240	CP007536.1	1786230	1786505	+	276	434	339	350	469	391	1153	973	715	861	646		396.6	869.6		
gene224	CP007536.1	192526	193314	-	789	8781	7989	5666	5618	8388	1615	834	584	826	439		7288.4	859.6		
gene2905	CP007536.1	2314059	2314913	+	855	45695	39692	37038	42429	43868	935	1009	920	505	920		41744.4	857.8		
gene1198	CP007536.1	955709	956929	-	1221	18755	16501	14143	16393	17649	926	782	798	732	980		16688.2	843.6		
gene2348	CP007536.1	1884752	1885420	-	669	1665	1481	1357	1629	1453	416	780	1194	461	1313		1517	832.8		
gene1903	CP007536.1	1525457	1526383	+	927	3575	3046	2217	2500	3648	1344	966	729	373	748		2997.2	832		
gene233	CP007536.1	200258	200938	-	681	15115	14295	12541	15377	15991	2193	913	136	474	330		14663.8	809.2		
gene1922	CP007536.1	1543147	1543812	-	666	1986	1790	1512	1763	2039	750	763	937	490	1030		1818	794		
gene166	CP007536.1	152458	153372	-	915	7552	6739	5929	6940	7840	806	992	944	424	777		7000	788.6		
gene620	CP007536.1	480376	483306	+	2931	11934	11244	9117	10123	11781	1031	721	674	860	648		10839.8	786.8		
gene2146	CP007536.1	1709456	1712371	-	2916	47342	40351	39630	40406	43414	815	965	696	585	862		42228.6	784.6		
gene1433	CP007536.1	1146516	1149773	-	3258	50943	44868	38996	42337	48368	968	750	680	480	901		45102.4	755.8		
gene189	CP007536.1	168561	169790	-	1230	2321	1884	1875	2581	1952	646	754	998	606	747		2122.6	750.2		
gene799	CP007536.1	619899	620360	+	462	3789	3431	3051	3530	3807	800	598	690	873	667		3521.6	725.6		
gene3015	CP007536.1	2397442	2397657	-	216	448	468	363	487	482	995	732	648	710	527		449.6	722.4		
gene887	CP007536.1	688923	691376	+	2454	2910	2821	2349	2609	2569	1041	617	524	1056	340		2651.6	715.6		
gene1556	CP007536.1	1246908	1247567	-	660	3476	3001	2961	3669	3297	842	409	640	1072	614		3280.8	715.4		
gene1832	CP007536.1	1467587	1468156	-	570	652	574	525	712	621	1048	646	586	682	590		616.8	710.4		
gene1318	CP007536.1	1053304	1054704	+	1401	18176	16063	15993	12796	15280	839	480	614	507	974		15661.6	682.8		
gene1403	CP007536.1	1117847	1119799	+	1953	5183	4492	4126	4148	4810	1127	572	371	697	618		4551.8	677		
gene2147	CP007536.1	1712494	1714629	-	2136	9819	8509	7908	8603	9117	943	563	507	501	698		8791.2	642.4		
gene1036	CP007536.1	825138	825289	+	152	1676	1410	1337	1993	2039	1163	509	418	576	431		1691	619.4		
gene1828	CP007536.1	1463790	1464242	-	453	6312	5666	4826	5607	5764	650	492	618	583	739		5635	616.4		
gene1527	CP007536.1	1223371	1224684	-	1314	47817	43145	39594	39565	44394	793	619	515	482	662		42903	614.2		
gene1238	CP007536.1	984734	985255	-	522	8026	6730	6125	6598	6922	881	480	411	621	623		6880.2	603.2		
gene2302	CP007536.1	1839363	1840955	+	1593	66216	63355	55029	56393	66677	516	734	529	273	937		61534	597.8		
gene1393	CP007536.1	1111120	1112211	-	1092	2297	1810	1452	1672	2016	1073	577	395	506	422		1849.4	594.6		
gene2551	CP007536.1	2037444	2038295	-	852	3305	3048	2684	3338	3200	853	493	332	700	563		3115	588.2		
gene3186	CP007536.1	2526672	2527859	-	1188	2812	2371	2090	2313	2393	1015	513	389	468	552		2395.8	587.4		
gene1717	CP007536.1	1376799	1378172	-	1374	16099	13715	11723	13266	14960	954	546	327	585	492		13952.6	580.8		
gene1516	CP007536.1	1211929	1213860	-	1932	2881	2333	1401	8582	750	139	382	553	262	1496		3189.4	566.4		
gene230	CP007536.1	196053	198353	+	2301	6420	6136	4749	4814	6631	567	470	533	668	548		5750	557.2		
gene590	CP007536.1	459802	460134	+	333	4691	4128	3617	4630	3547	570	610	473	541	577		4122.6	554.2		
gene2185	CP007536.1	1744612	1744905	+	294	49651	47303	39575	52558	44305	556	456	521	626	568		46678.4	545.4		
gene2781	CP007536.1	2221387	2221782	-	396	6390	5957	5220	6692	6536	940	536	324	418	461		6159	535.8		
gene1974	CP007536.1	1581428	1582273	+	846	616	524	544	628	633	408	734	807	200	498		589	529.4		
gene2284	CP007536.1	1817817	1818152	-	336	1969	1950	1152	1039	1705	825	214	125	1004	474		1563	528.4		
gene1040	CP007536.1	828674	830959	+	2286	547	507	488	1015	596	190	340	1093	155	849		630.6	525.4		
gene2532	CP007536.1	2024805	2025386	+	582	11017	9732	7752	9670	8850	772	471	307	463	606		9404.2	523.8		
gene1561	CP007536.1	1250895	1252622	-	1728	3279	2836	2843	3225	2889	372	496	900	201	622		3014.4	518.2		
gene1518	CP007536.1	1214717	1217683	-	2967	13149	11404	8971	15217	9420	639	453	275	518	705		11632.2	518		
gene764	CP007536.1	595411	595920	-	510	1723	1643	1486	1228	1289	895	400	385	365	520		1473.8	513		
gene2323	CP007536.1	1859234	1860124	-	891	1256	1022	886	1118	1031	721	438	358	612	374		1062.6	500.6		
gene2326	CP007536.1	1861753	1862844	+	1092	3415	2834	2473	2848	2870	595	587	443	429	431		2888	497		
gene1857	CP007536.1	1488977	1489828	-	852	2056	1807	1542	1653	1993	1019	433	198	507	319		1810.2	495.2		
gene3171	CP007536.1	2517848	2518939	+	1092	11571	9808	8437	9682	11029	863	592	299	305	409		10105.4	493.6		
gene2044	CP007536.1	1632884	1634290	-	1407	353	396	892	3882	344	205	333	877	293	737		1173.4	489		
gene2376	CP007536.1	1904901	1905260	-	360	44515	42866	35086	46549	40244	434	597	454	429	490		41852	480.8		
gene3075	CP007536.1	2443729	2445393	-	1665	44347	40472	34489	32404	38591	503	549	386	322	634		38060.6	478.8		
gene2415	CP007536.1	1932127	1933929	+	1803	51362	45970	40335	41384	47376	533	543	400	382	508		45285.4	473.2		
gene1589	CP007536.1	1272263	1273978	-	1716	1469	1391	1248	1423	1537	853	532	188	455	290		1413.6	463.6		
gene1727	CP007536.1	1388099	1389067	+	969	1949	1521	1364	1473	1696	1050	392	205	299	356		1600.6	460.4		
gene2981	CP007536.1	2371130	2371834	-	705	1109	1054	826	879	1095	382	572	534	284	457		992.6	445.8		
gene2776	CP007536.1	2217544	2218668	+	1125	1239	1051	955	991	901	419	560	471	284	473		1027.4	441.4		
gene391	CP007536.1	318643	319497	+	855	4866	4596	4142	4752	4824	531	211	222	134	1091		4636	437.8		
gene1722	CP007536.1	1384007	1385455	+	1449	2538	2241	1872	2231	2290	750	360	346	295	390		2234.4	428.2		
gene2305	CP007536.1	1842475	1843164	-	690	40704	37588	42837	54885	36864	463	462	368	232	609		42575.6	426.8		
gene3008	CP007536.1	2390596	2392395	-	1800	23041	22393	15775	5622	19956	303	515	650	200	452		17357.4	424		
gene2474	CP007536.1	1977643	1978992	+	1350	68942	62371	53351	55976	68621	400	596	367	339	397		61852.2	419.8		
gene1517	CP007536.1	1213884	1214639	-	756	2583	2123	1198	8882	562	121	301	515	294	838		3069.6	413.8		
gene1068	CP007536.1	852755	853771	+	1017	281	266	244	320	360	594	357	475	174	435		294.2	407		
gene1108	CP007536.1	888212	889411	-	1200	9018	8248	7481	9623	8225	905	319	172	438	188		8519	404.4		
gene2651	CP007536.1	2108769	2110637	-	1869	12615	11493	9786	9115	12024	632	248	234	363	542		11006.6	403.8		
gene1447	CP007536.1	1159457	1160209	+	753	2364	1749	1665	1753	1948	886	306	165	346	314		1895.8	403.4		
gene92	CP007536.1	72403	74181	+	1779	2238	1811	1622	2338	1784	426	409	373	420	376		1958.6	400.8		
gene1888	CP007536.1	1513866	1514846	+	981	7452	6493	5098	5363	6445	742	360	214	459	208		6170.2	396.6		
gene99	CP007536.1	79956	80528	-	573	11189	10165	13876	9642	10200	441	471	276	445	336		11014.4	393.8		
gene1196	CP007536.1	953227	954489	-	1263	10256	8640	7146	7950	9553	452	414	359	390	354		8709	393.8		
gene1315	CP007536.1	1051060	1052016	+	957	1178	992	786	1004	961	423	458	424	280	364		984.2	389.8		
gene983	CP007536.1	781919	782371	+	453	1838	1619	1792	2067	1617	575	403	206	318	412		1786.6	382.8		
gene2232	CP007536.1	1780503	1781534	+	1032	2944	2449	2102	2574	2887	608	419	224	376	259		2591.2	377.2		
gene1754	CP007536.1	1410032	1411084	-	1053	14417	13750	11623	12090	13758	544	360	272	263	438		13127.6	375.4		
gene3154	CP007536.1	2500554	2501027	+	474	5243	4626	4313	4508	4895	261	338	591	231	435		4717	371.2		
gene1887	CP007536.1	1512167	1513879	+	1713	12773	11026	9297	9897	12234	593	391	290	303	262		11045.4	367.8		
gene270	CP007536.1	222678	224309	-	1632	25886	24753	19519	21538	24929	211	329	405	205	678		23325	365.6		
gene313	CP007536.1	252885	255587	+	2703	1343	1214	1020	1067	1367	467	351	318	288	402		1202.2	365.2		
gene329	CP007536.1	268001	268444	+	444	766	644	519	741	625	439	340	358	359	327		659	364.6		
gene1641	CP007536.1	1315190	1315846	-	657	292	216	224	249	246	376	360	305	501	280		245.4	364.4		
gene2574	CP007536.1	2053619	2054677	+	1059	19705	17654	13740	13796	18997	510	340	331	238	386		16778.4	361		
gene1577	CP007536.1	1264928	1265677	+	750	283	252	232	278	239	830	290	133	396	137		256.8	357.2		
gene1079	CP007536.1	860895	861509	-	615	888	693	756	694	845	607	363	219	281	314		775.2	356.8		
gene2904	CP007536.1	2312552	2314045	+	1494	67824	63746	58380	60816	59685	300	406	348	243	479		62090.2	355.2		
gene2388	CP007536.1	1911580	1912968	-	1389	10846	9108	8133	9666	10826	259	655	432	129	281		9715.8	351.2		
gene797	CP007536.1	617191	618894	-	1704	61103	57872	53161	49514	54545	431	284	406	234	395		55239	350		
gene1795	CP007536.1	1440371	1441678	-	1308	4018	3375	2698	2943	3898	351	360	343	198	492		3386.4	348.8		
gene1286	CP007536.1	1024415	1025935	-	1521	3309	2997	2435	2719	3092	272	431	366	236	418		2910.4	344.6		
gene871	CP007536.1	675787	677469	-	1683	9958	9500	8030	8304	8906	586	308	224	210	359		8939.6	337.4		
gene876	CP007536.1	680131	681897	+	1767	5754	5119	5373	4833	4536	562	287	241	175	404		5123	333.8		
gene3081	CP007536.1	2448518	2453239	+	4722	16355	14865	12719	14074	15656	311	459	270	274	344		14733.8	331.6		
gene1178	CP007536.1	937225	938865	-	1641	14510	12214	12169	13784	11364	273	304	441	173	463		12808.2	330.8		
gene2697	CP007536.1	2150871	2152079	+	1209	455	525	473	612	451	331	220	375	304	401		503.2	326.2		
gene1944	CP007536.1	1558453	1558881	+	429	2519	2169	2095	2319	2513	397	306	284	325	316		2323	325.6		
gene282	CP007536.1	234293	235135	-	843	9154	8054	6387	6282	9880	431	303	294	254	288		7951.4	314		
gene3105	CP007536.1	2468956	2470902	+	1947	5005	4358	3751	4350	4482	382	360	222	353	252		4389.2	313.8		
gene2416	CP007536.1	1933922	1935313	+	1392	43734	37710	33446	34359	43083	367	422	317	175	282		38466.4	312.6		
gene448	CP007536.1	351827	352837	+	1011	11532	10252	9588	10303	10754	300	343	319	270	307		10485.8	307.8		
gene104	CP007536.1	88319	100498	+	12180	4424	3906	5399	3492	4321	424	262	179	339	323		4308.4	305.4		
gene503	CP007536.1	395392	396042	+	651	14488	14442	12319	14451	13990	378	347	231	196	361		13938	302.6		
gene2037	CP007536.1	1628896	1629453	+	558	808	742	790	1164	648	243	345	255	262	408		830.4	302.6		
gene1508	CP007536.1	1205220	1205630	+	411	43	31	43	30	34	89	171	311	286	648		36.2	301		
gene475	CP007536.1	375213	375584	-	372	47511	45711	38369	46063	46342	352	365	229	217	340		44799.2	300.6		
gene1126	CP007536.1	903141	903680	+	540	1443	1190	608	521	1766	190	143	214	264	668		1105.6	295.8		
gene579	CP007536.1	449796	451424	+	1629	8355	7518	6323	6387	7541	339	336	259	187	321		7224.8	288.4		
gene1353	CP007536.1	1081416	1082144	-	729	1817	1631	1476	1682	1684	401	213	322	231	263		1658	286		
gene1873	CP007536.1	1501689	1502864	-	1176	4242	3835	3122	3625	3813	276	266	293	274	311		3727.4	284		
gene1421	CP007536.1	1131909	1133984	-	2076	5239	4768	4285	4251	4563	299	268	329	205	298		4621.2	279.8		
gene731	CP007536.1	567238	568266	-	1029	7480	6589	6172	6875	7016	384	418	222	181	193		6826.4	279.6		
gene2166	CP007536.1	1727165	1727734	+	570	2211	1994	1688	1712	2173	310	275	190	279	319		1955.6	274.6		
gene1419	CP007536.1	1129267	1131402	-	2136	7977	6454	5592	5359	7290	336	254	240	225	310		6534.4	273		
gene2490	CP007536.1	1991372	1992409	+	1038	6408	5253	5045	5559	5557	349	257	202	267	289		5564.4	272.8		
gene2873	CP007536.1	2291256	2292320	+	1065	4102	3726	3129	3697	3593	239	280	332	277	224		3649.4	270.4		
gene2368	CP007536.1	1897805	1899148	+	1344	5952	5437	4855	4539	5636	370	209	249	286	235		5283.8	269.8		
gene769	CP007536.1	597317	598570	+	1254	915	822	661	898	690	273	270	301	182	319		797.2	269		
gene1514	CP007536.1	1210933	1211451	-	519	1741	1410	1201	2039	1401	361	279	170	330	204		1558.4	268.8		
gene2137	CP007536.1	1703214	1703819	+	606	3828	3166	3347	4638	2540	245	253	307	210	316		3503.8	266.2		
gene721	CP007536.1	560469	561710	-	1242	4130	3368	3309	3922	3832	359	282	269	184	230		3712.2	264.8		
gene1277	CP007536.1	1017252	1017911	+	660	1520	1293	1159	1421	1390	195	227	279	234	384		1356.6	263.8		
gene1298	CP007536.1	1035076	1036329	-	1254	17659	15672	13881	14249	16752	380	277	268	167	226		15642.6	263.6		
gene690	CP007536.1	534910	537015	+	2106	10853	9274	8049	8228	10366	304	202	325	207	273		9354	262.2		
gene137	CP007536.1	130570	131394	+	825	14203	12489	11649	14313	13805	493	253	152	173	217		13291.8	257.6		
gene663	CP007536.1	515706	517220	-	1515	7717	6969	5949	6532	7073	356	249	151	288	149		6848	238.6		
gene410	CP007536.1	330113	330949	+	837	316	291	326	6688	332	198	82	130	466	316		1590.6	238.4		
gene2489	CP007536.1	1990101	1991228	-	1128	9341	7804	6906	7093	9176	422	257	112	150	245		8064	237.2		
gene2883	CP007536.1	2297176	2298549	+	1374	6871	5912	4965	5723	6196	289	226	278	133	237		5933.4	232.6		
gene2734	CP007536.1	2186966	2187136	+	171	4576	4549	3879	5423	4173	452	144	143	216	197		4520	230.4		
gene2438	CP007536.1	1948828	1949421	+	594	1863	1502	1697	2039	1441	196	265	294	142	249		1708.4	229.2		
gene412	CP007536.1	331495	331932	-	438	68	75	77	120	86	199	217	277	123	321		85.2	227.4		
gene1246	CP007536.1	992142	993479	+	1338	1580	1441	1248	1395	1316	356	230	136	233	166		1396	224.2		
gene2317	CP007536.1	1853282	1855963	+	2682	4197	3818	3358	3627	3980	285	235	212	189	199		3796	224		
gene681	CP007536.1	528274	529518	+	1245	10316	9323	8367	10126	10170	251	195	258	147	262		9660.4	222.6		
gene1845	CP007536.1	1475086	1475493	+	408	1402	1275	1282	1444	1346	443	269	100	97	191		1349.8	220		
gene2220	CP007536.1	1772486	1773058	+	573	2891	2908	2477	2821	2505	253	270	185	199	186		2720.4	218.6		
gene2676	CP007536.1	2130750	2131523	+	774	1044	933	806	1147	848	326	204	178	150	233		955.6	218.2		
gene914	CP007536.1	711159	712385	+	1227	9163	8164	6454	6927	10309	388	297	121	157	127		8203.4	218		
gene567	CP007536.1	440254	441273	-	1020	7784	6930	6608	7036	6561	133	230	255	163	298		6983.8	215.8		
gene1728	CP007536.1	1389330	1390724	+	1395	2105	1829	1557	2414	1743	234	192	193	241	213		1929.6	214.6		
gene3053	CP007536.1	2424558	2425700	+	1143	3222	3343	2658	2790	2750	451	152	123	209	135		2952.6	214		
gene2155	CP007536.1	1720177	1720839	-	663	513	404	379	560	404	282	230	168	174	198		452	210.4		
gene1413	CP007536.1	1124077	1125096	+	1020	1301	1096	962	975	1043	205	199	165	205	276		1075.4	210		
gene498	CP007536.1	389683	391362	+	1680	10159	9216	8137	8386	9281	324	211	138	194	181		9035.8	209.6		
gene2903	CP007536.1	2311862	2312353	+	492	28558	25835	24041	28567	26211	205	220	181	200	218		26642.4	204.8		
gene2556	CP007536.1	2040338	2042011	-	1674	29038	25129	23536	23102	24164	213	172	217	162	254		24993.8	203.6		
gene2754	CP007536.1	2201502	2202347	+	846	1230	1016	1150	1572	996	226	215	184	148	236		1192.8	201.8		
gene2733	CP007536.1	2185416	2186813	-	1398	3836	3105	2963	3599	3779	254	210	218	128	192		3456.4	200.4		
gene2459	CP007536.1	1963435	1963929	+	495	3080	3234	2499	2855	2814	136	114	203	237	311		2896.4	200.2		
gene2690	CP007536.1	2142298	2143533	+	1236	8969	8213	7070	8454	8016	259	203	209	121	208		8144.4	200		
gene3116	CP007536.1	2474555	2475067	+	513	19787	18042	16221	18874	16879	419	165	91	165	150		17960.6	198		
gene1830	CP007536.1	1464789	1466312	-	1524	17496	15338	13529	13563	16423	211	150	247	146	234		15269.8	197.6		
gene2577	CP007536.1	2056458	2058293	-	1836	5303	4646	3913	4041	4894	503	157	71	151	106		4559.4	197.6		
gene1579	CP007536.1	1265792	1266940	+	1149	639	579	527	752	577	362	180	77	239	123		614.8	196.2		
gene1939	CP007536.1	1555168	1555836	-	669	1046	1010	1022	1447	1086	285	252	157	110	174		1122.2	195.6		
gene2404	CP007536.1	1922974	1923354	-	381	2052	1904	1553	1714	1850	229	197	149	190	211		1814.6	195.2		
gene2511	CP007536.1	2005687	2006862	-	1176	3273	2938	2334	2434	2869	247	228	167	190	116		2769.6	189.6		
gene2878	CP007536.1	2294043	2295491	-	1449	22009	19318	17085	18840	20934	156	211	142	174	261		19637.2	188.8		
gene1251	CP007536.1	996337	996762	-	426	2560	2363	2094	2301	2364	311	247	133	119	132		2336.4	188.4		
gene825	CP007536.1	639317	640213	+	897	2540	2185	1985	2100	2594	441	128	85	167	111		2280.8	186.4		
gene1515	CP007536.1	1211453	1211860	-	408	3059	2652	2093	4225	2274	290	145	101	212	174		2860.6	184.4		
gene1545	CP007536.1	1237328	1237936	-	609	812	686	628	959	672	219	189	194	99	221		751.4	184.4		
gene3006	CP007536.1	2389196	2389333	+	138	368	332	312	345	365	276	116	177	240	110		344.4	183.8		
gene720	CP007536.1	557330	560092	-	2763	1909	1980	1799	1857	1739	273	217	144	144	133		1856.8	182.2		
gene2601	CP007536.1	2076405	2077850	+	1446	5247	4461	4338	4397	5017	250	217	124	199	121		4692	182.2		
gene2399	CP007536.1	1919006	1919881	-	876	961	757	700	777	774	223	186	150	185	159		793.8	180.6		
gene3017	CP007536.1	2398263	2399264	-	1002	6238	5278	5065	4964	5648	251	170	179	128	172		5438.6	180		
gene2843	CP007536.1	2266910	2267185	-	276	2000	2043	1690	2105	1500	443	121	68	93	166		1867.6	178.2		
gene3153	CP007536.1	2500199	2500393	+	195	249	293	286	470	228	233	119	109	296	131		305.2	177.6		
gene830	CP007536.1	642212	643156	-	945	12012	11052	9967	9453	11157	224	147	241	113	162		10728.2	177.4		
gene191	CP007536.1	170423	171235	-	813	633	605	481	1645	356	34	70	116	104	557		744	176.2		
gene824	CP007536.1	638583	639281	+	699	568	548	492	669	509	256	148	141	202	132		557.2	175.8		
gene136	CP007536.1	129940	130395	+	456	2448	2359	2034	3122	2291	205	126	222	195	124		2450.8	174.4		
gene2420	CP007536.1	1936717	1938852	+	2136	37698	32165	27493	27230	34479	277	140	150	86	212		31813	173		
gene1913	CP007536.1	1533412	1534293	+	882	8960	7915	8836	15138	5752	116	143	231	146	227		9320.2	172.6		
gene1180	CP007536.1	939181	941190	+	2010	4976	4334	3609	3979	4422	257	132	122	166	185		4264	172.4		
gene1326	CP007536.1	1059625	1061079	-	1455	10977	9793	8327	9127	9903	289	199	152	124	96		9625.4	172		
gene879	CP007536.1	683219	684316	-	1098	4765	4506	3771	3691	4527	328	105	121	171	130		4252	171		
gene678	CP007536.1	526573	527484	-	912	1181	796	856	916	979	339	191	104	106	113		945.6	170.6		
gene942	CP007536.1	732135	733367	+	1233	794	672	598	703	553	118	214	182	217	119		664	170		
gene2750	CP007536.1	2200220	2200552	+	333	3151	2652	2452	3682	2541	119	166	171	162	206		2895.6	164.8		
gene549	CP007536.1	426165	426617	-	453	512	432	442	402	475	280	149	119	139	132		452.6	163.8		
gene2988	CP007536.1	2376735	2376965	-	231	321	246	237	356	260	273	144	132	136	133		284	163.6		
gene2592	CP007536.1	2069395	2069679	-	285	4438	3620	3631	3676	3895	321	190	96	111	96		3852	162.8		
gene1227	CP007536.1	972850	973413	-	564	117	99	101	92	82	270	123	153	170	94		98.2	162		
gene1659	CP007536.1	1327385	1327879	+	495	2135	1677	1494	1873	1682	201	184	148	128	144		1772.2	161		
gene709	CP007536.1	547053	548438	-	1386	5920	5331	4838	5629	5584	193	214	149	116	131		5460.4	160.6		
gene796	CP007536.1	616576	617154	+	579	673	625	585	856	499	293	148	109	140	108		647.6	159.6		
gene1444	CP007536.1	1156973	1158211	-	1239	3420	3004	2452	2704	3002	261	142	99	123	168		2916.4	158.6		
gene159	CP007536.1	146385	147035	+	651	447	354	380	444	401	229	141	127	135	159		405.2	158.2		
gene362	CP007536.1	298517	299101	-	585	4651	4031	3448	3359	4561	95	206	171	86	225		4010	156.6		
gene1656	CP007536.1	1325554	1326435	+	882	2132	1949	1553	1790	2025	302	116	118	154	91		1889.8	156.2		
