# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "./GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-T" "8" "-o" "./counts_oxi.txt" "-s" "0" "./Nvie_2oxi_1_mRNA_sorted.bam" "./Nvie_2oxi_2_mRNA_sorted.bam" "./Nvie_2oxi_3_mRNA_sorted.bam" "./Nvie_2oxi_4_mRNA_sorted.bam" "./Nvie_2oxi_5_mRNA_sorted.bam" "./Nvie_ctrl_1_mRNA_sorted.bam" "./Nvie_ctrl_2_mRNA_sorted.bam" "./Nvie_ctrl_3_mRNA_sorted.bam" "./Nvie_ctrl_4_mRNA_sorted.bam" "./Nvie_ctrl_5_mRNA_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	./Nvie_2oxi_1_mRNA_sorted.bam	./Nvie_2oxi_2_mRNA_sorted.bam	./Nvie_2oxi_3_mRNA_sorted.bam	./Nvie_2oxi_4_mRNA_sorted.bam	./Nvie_2oxi_5_mRNA_sorted.bam	./Nvie_ctrl_1_mRNA_sorted.bam	./Nvie_ctrl_2_mRNA_sorted.bam	./Nvie_ctrl_3_mRNA_sorted.bam	./Nvie_ctrl_4_mRNA_sorted.bam	./Nvie_ctrl_5_mRNA_sorted.bam
gene33	CP007536.1	26144	26656	-	513	86	100	0	0	0	1999	1413	1335	604	780
gene34	CP007536.1	26637	27476	-	840	146	174	184	302	350	4267	3618	3404	1649	2676
gene35	CP007536.1	27498	28418	+	921	1831	1701	1947	800	1002	9955	8763	10832	4847	5931
gene36	CP007536.1	28382	28774	+	393	54	0	62	0	72	659	922	938	405	742
gene37	CP007536.1	28871	29842	+	972	1074	427	619	686	306	19924	16819	20398	9293	12983
gene38	CP007536.1	29895	30365	+	471	94	24	12	156	0	642	704	574	424	495
gene39	CP007536.1	30428	30766	+	339	530	370	332	402	898	1578	2833	2439	1257	1542
gene40	CP007536.1	30772	31074	-	303	0	0	0	0	0	139	143	75	67	101
gene41	CP007536.1	31071	32243	-	1173	208	26	187	0	221	9056	6544	6683	3606	5424
gene42	CP007536.1	32307	33800	+	1494	104	128	262	48	324	6333	3109	3831	2011	3652
gene43	CP007536.1	33788	35455	+	1668	129	0	315	144	654	6788	3585	3670	1915	3456
gene44	CP007536.1	35609	36658	+	1050	787	619	572	220	1204	6089	4858	4850	2501	3642
gene45	CP007536.1	36790	37083	+	294	248	296	132	124	152	1407	5382	3326	896	1193
gene46	CP007536.1	37075	38979	-	1905	660	1234	611	734	982	12570	9600	12535	6306	11142
gene47	CP007536.1	39115	39432	+	318	16	283	170	197	130	1606	1576	1455	451	899
gene48	CP007536.1	39443	40516	+	1074	686	1007	598	399	2077	6972	3829	5651	2145	3297
gene49	CP007536.1	40509	40949	-	441	0	0	0	0	0	274	183	282	87	187
gene50	CP007536.1	41001	41090	-	90	0	0	0	0	0	14	16	26	1	14
gene51	CP007536.1	41124	41711	-	588	0	0	28	15	0	683	658	838	212	656
gene52	CP007536.1	41749	42681	-	933	86	36	305	244	544	7498	4455	5248	2764	4479
gene53	CP007536.1	42727	43257	-	531	0	36	68	0	0	1625	2112	1783	726	867
gene54	CP007536.1	43220	43513	-	294	0	26	0	0	0	75	198	205	96	82
gene55	CP007536.1	43617	44759	-	1143	517625	448034	515798	412006	319314	352834	323978	565377	278188	298335
gene56	CP007536.1	45031	45594	+	564	7044	4689	4668	5097	8597	22533	16981	16306	11962	17224
gene57	CP007536.1	45696	45932	+	237	244	101	0	124	8	669	617	731	404	675
gene58	CP007536.1	45929	46177	-	249	0	0	0	0	0	414	529	403	139	169
gene59	CP007536.1	46194	47273	-	1080	337	412	102	202	290	19599	13402	17985	9896	14720
gene60	CP007536.1	47297	47470	-	174	0	0	0	0	0	335	588	336	109	61
gene61	CP007536.1	47531	48790	-	1260	223	274	219	154	438	1425	1467	1742	660	1320
gene62	CP007536.1	48801	49832	-	1032	264	64	196	136	318	1179	1596	2010	770	1352
gene63	CP007536.1	49941	50516	+	576	114	36	80	112	204	447	322	683	365	327
gene64	CP007536.1	50506	51846	-	1341	444	644	405	228	198	4696	3172	3634	2039	3731
gene65	CP007536.1	51914	52801	+	888	130	166	130	52	12	6060	3633	3146	1238	2914
gene66	CP007536.1	52840	53766	+	927	88	375	48	0	0	2524	1269	1899	1075	1309
gene67	CP007536.1	53761	54696	-	936	180	70	178	0	141	983	708	1110	490	960
gene68	CP007536.1	54753	55109	+	357	0	0	0	0	0	90	62	100	18	121
gene69	CP007536.1	55211	55633	+	423	2126	2027	1791	819	3286	17742	21643	14648	6933	11091
gene70	CP007536.1	55635	56084	+	450	2986	2189	3556	2593	2856	17361	13396	15689	7111	10464
gene71	CP007536.1	56101	56454	-	354	26	22	0	0	0	324	364	305	194	205
gene72	CP007536.1	56467	57285	-	819	0	0	90	0	0	395	334	374	149	354
gene73	CP007536.1	57356	58009	+	654	110	163	218	146	180	14960	8931	9282	3689	7670
gene74	CP007536.1	58094	58762	+	669	76	82	0	0	153	1740	1520	1762	938	1668
gene75	CP007536.1	58759	60084	+	1326	87	0	0	170	0	10403	6714	7883	3698	6722
gene76	CP007536.1	60056	61063	+	1008	152	68	48	136	788	4718	2927	3005	1485	2257
gene77	CP007536.1	61101	61721	+	621	34	121	0	0	0	697	615	752	267	351
gene78	CP007536.1	61774	61851	+	78	0	0	0	0	0	171	235	73	45	50
gene79	CP007536.1	62155	62571	-	417	0	0	22	0	0	1491	2344	2073	1076	1402
gene80	CP007536.1	62600	63382	-	783	0	60	0	0	0	550	537	457	303	313
gene81	CP007536.1	63400	63723	-	324	0	0	0	0	0	270	338	299	114	165
gene82	CP007536.1	63728	64048	-	321	14	0	0	0	0	288	583	257	83	112
gene83	CP007536.1	64328	64501	-	174	28	0	0	0	0	56	56	56	30	42
gene84	CP007536.1	64494	65000	-	507	90	258	45	28	260	352	415	339	195	172
gene85	CP007536.1	64993	65178	+	186	16	0	0	0	0	8	26	0	0	0
gene86	CP007536.1	65194	65670	-	477	1438	777	654	759	832	854	855	1415	583	570
gene87	CP007536.1	65836	67464	-	1629	2181	1274	2305	1241	3126	22301	23740	31054	16800	20054
gene88	CP007536.1	67471	68106	-	636	4244	3113	2742	2621	3761	22360	21964	26912	14567	20408
gene89	CP007536.1	68329	69160	-	832	71	24	81	0	0	4713	3609	2912	1206	1595
gene90	CP007536.1	69489	71591	-	2103	1274	937	620	400	659	17908	15678	18306	9417	13951
gene91	CP007536.1	71621	72301	-	681	878	1532	1032	1611	1398	12242	6223	8281	3731	5752
gene92	CP007536.1	72403	74181	+	1779	2933	2487	2342	1475	916	4692	4732	8688	5192	5914
gene93	CP007536.1	74718	75005	+	288	92	79	80	0	0	824	549	1003	652	593
gene94	CP007536.1	75033	76703	-	1671	154	150	66	413	300	1793	2380	4181	2182	2367
gene95	CP007536.1	76868	77533	+	666	603	3069	899	534	625	390	900	2280	1018	781
gene96	CP007536.1	77542	78717	-	1176	387	122	500	0	206	1306	1049	1388	550	823
gene97	CP007536.1	78762	79559	-	798	2434	1490	1219	1738	1738	2764	3139	4280	2356	3314
gene98	CP007536.1	79667	79858	-	192	0	0	0	0	0	148	162	166	89	99
gene99	CP007536.1	79956	80528	-	573	18425	11502	14562	17098	16805	18193	14963	15076	7615	10047
gene100	CP007536.1	80631	81074	-	444	406	189	74	124	0	1233	514	903	532	852
gene101	CP007536.1	81184	81774	+	591	616	434	699	576	305	4736	2786	3546	1926	3755
gene102	CP007536.1	82045	86082	+	4038	1342	676	911	1080	1868	8416	3673	4000	2239	5324
gene103	CP007536.1	86165	88171	+	2007	546	627	102	103	274	4827	3895	8213	4037	5005
gene104	CP007536.1	88319	100498	+	12180	1880	1793	1346	1367	1689	9853	6034	8136	4764	6748
gene105	CP007536.1	100576	101154	+	579	505	286	450	452	472	1057	815	915	399	516
gene106	CP007536.1	101206	102978	+	1773	334	548	124	292	985	13612	10274	20128	11269	14281
gene107	CP007536.1	103198	103629	-	432	0	0	0	0	0	16	0	14	15	64
gene108	CP007536.1	103648	103770	-	123	0	0	0	0	0	0	2	0	0	0
gene109	CP007536.1	103822	104004	-	183	0	0	0	0	0	2	0	0	1	0
gene110	CP007536.1	104097	104228	+	132	16	0	0	0	0	91	122	97	30	30
gene111	CP007536.1	104416	104817	-	402	91	0	0	0	0	832	767	1225	597	675
gene112	CP007536.1	105123	105284	+	162	0	0	0	0	0	8	22	9	0	15
gene113	CP007536.1	105281	105877	+	597	0	0	66	0	0	144	80	150	87	19
gene114	CP007536.1	105882	106241	+	360	0	0	0	0	0	6	60	38	7	38
gene115	CP007536.1	106228	106884	+	657	0	0	0	0	0	51	28	30	16	6
gene116	CP007536.1	106907	108937	-	2031	27	0	62	0	0	1781	2323	2525	1439	1870
gene117	CP007536.1	109060	110400	-	1341	0	0	154	0	0	634	925	593	386	600
gene118	CP007536.1	110507	110722	+	216	0	0	9	0	0	18	20	36	17	35
gene119	CP007536.1	110729	111409	+	681	86	338	270	223	0	200	247	169	122	215
gene120	CP007536.1	111409	112317	+	909	4	0	0	0	0	274	369	249	114	254
gene121	CP007536.1	112368	113879	+	1512	5095	6548	6614	3655	4360	3273	3530	4902	2948	3168
gene122	CP007536.1	114026	114463	-	438	4091	2514	3185	2423	1806	3921	4066	5691	2770	3585
gene123	CP007536.1	114571	114744	+	174	0	0	0	0	0	0	0	1	0	0
gene124	CP007536.1	114741	116150	+	1410	90	306	202	0	0	750	696	960	433	582
gene125	CP007536.1	116368	116490	+	123	0	0	0	0	0	30	37	14	19	0
gene126	CP007536.1	116608	117756	+	1149	96	0	0	0	0	3063	2636	2768	1281	1581
gene127	CP007536.1	117719	118390	+	672	0	0	0	0	0	462	486	467	249	286
gene128	CP007536.1	118417	119772	-	1356	0	0	50	0	0	590	781	960	448	642
gene129	CP007536.1	119774	120742	-	969	0	0	0	0	0	618	952	701	376	432
gene130	CP007536.1	120855	123911	+	3057	913	852	815	667	1674	4904	5063	6288	3342	5147
gene131	CP007536.1	123908	125665	+	1758	366	122	331	601	1454	3935	3707	4095	1999	3196
gene132	CP007536.1	125674	126534	+	861	46	0	0	0	0	327	394	638	289	347
gene133	CP007536.1	126628	127164	-	537	0	0	40	330	123	420	642	693	477	421
gene134	CP007536.1	127294	128097	-	804	983	941	1196	612	732	15082	15135	21566	9699	11836
gene135	CP007536.1	128192	129850	+	1659	54	48	48	0	186	4064	2143	2468	1467	2427
gene136	CP007536.1	129940	130395	+	456	787	1117	468	1500	1066	3029	2895	3056	1184	1997
gene137	CP007536.1	130570	131394	+	825	17640	10964	16183	15369	7587	27828	29291	37998	19776	26544
gene138	CP007536.1	131493	133085	-	1593	0	0	0	0	0	643	580	1024	469	464
gene139	CP007536.1	133267	133749	+	483	0	0	44	0	0	1285	993	872	486	804
gene140	CP007536.1	133928	134860	+	933	96	32	72	0	0	2316	1600	1542	886	1278
gene141	CP007536.1	134843	136189	-	1347	529	966	738	1104	1817	14337	8168	9272	4268	7727
gene142	CP007536.1	136293	136448	+	156	20	0	25	0	0	269	783	288	81	103
gene143	CP007536.1	136445	136762	-	318	765	328	338	294	443	3375	3747	2545	769	1570
gene144	CP007536.1	136814	137476	+	663	260	268	86	0	138	3104	2614	2913	1506	2938
gene145	CP007536.1	137473	138780	-	1308	32	94	36	0	0	1425	865	1016	534	1002
gene146	CP007536.1	138849	139355	+	507	158	24	30	80	0	789	604	660	214	281
gene147	CP007536.1	139377	139656	+	280	1692812	1670381	2000732	1757765	1721463	459206	332595	502530	285254	382553
gene148	CP007536.1	139693	139941	-	249	0	0	0	0	0	2	0	2	0	0
gene149	CP007536.1	140251	140571	+	321	0	0	0	0	0	35	30	60	30	34
gene150	CP007536.1	140641	140811	+	171	174	46	38	9	0	171	781	494	99	123
gene151	CP007536.1	140843	141223	+	381	220	218	401	85	322	1536	1220	1172	681	957
gene152	CP007536.1	141266	142231	+	966	268	416	384	124	596	2266	1533	2039	846	1434
gene153	CP007536.1	142233	142877	+	645	117	385	115	183	107	1284	1383	2924	1263	968
gene154	CP007536.1	142874	143029	-	156	236	240	134	31	35	1585	2582	2980	555	680
gene155	CP007536.1	143158	144219	-	1062	11736	12888	12656	6019	3622	43953	40631	43373	22406	34823
gene156	CP007536.1	144179	145282	+	1104	0	120	0	0	0	1140	679	922	448	551
gene157	CP007536.1	145284	145967	+	684	1943	1250	1561	961	1216	8559	3430	3705	1924	3761
gene158	CP007536.1	145956	146288	-	333	0	0	0	68	0	184	103	113	68	73
gene159	CP007536.1	146385	147035	+	651	62	252	142	14	398	711	680	776	341	554
gene160	CP007536.1	147010	148803	-	1794	702	633	500	138	412	12380	6640	10266	5318	9924
gene161	CP007536.1	148810	148980	-	171	0	0	0	0	0	311	211	208	172	216
gene162	CP007536.1	149025	149426	-	402	123	106	118	13	82	392	689	428	126	166
gene163	CP007536.1	149695	150003	+	309	407	72	189	784	94	7272	8037	8783	2633	3968
gene164	CP007536.1	150071	151978	+	1908	312	143	400	660	226	6693	5912	7462	4176	4867
gene165	CP007536.1	152019	152468	+	450	183	202	58	0	55	3325	2548	1980	803	1060
gene166	CP007536.1	152458	153372	-	915	25665	25766	25915	24091	20595	20782	14953	23621	14066	17727
gene167	CP007536.1	153667	153864	-	198	35	76	0	232	0	1598	547	693	341	600
gene168	CP007536.1	153859	154191	+	333	559	395	873	418	1058	6938	5881	7559	2725	4386
gene169	CP007536.1	154226	154912	+	687	99	111	68	276	78	3427	2545	3624	1950	2791
gene170	CP007536.1	154976	155365	+	390	38	0	0	0	0	1981	1219	1450	742	1151
gene171	CP007536.1	155362	156768	-	1407	766	918	521	296	542	8794	5252	5040	2309	4458
gene172	CP007536.1	156878	156950	+	73	0	0	0	0	0	0	0	10	2	6
gene173	CP007536.1	157005	157103	+	99	12	44	78	258	0	104	108	72	38	32
gene174	CP007536.1	158725	158871	+	147	0	0	0	0	0	76	74	57	14	0
gene175	CP007536.1	159432	159614	+	183	0	0	0	0	0	108	122	167	89	48
gene176	CP007536.1	159767	160072	+	306	24	0	8	124	0	72	94	169	112	54
gene177	CP007536.1	160261	160359	-	99	20	70	0	0	0	8	54	69	40	22
gene178	CP007536.1	160666	161079	+	414	6	142	204	274	0	192	237	323	154	95
gene179	CP007536.1	161206	162162	-	957	0	0	0	0	0	158	56	154	66	94
gene180	CP007536.1	162594	162851	+	258	545	159	130	79	84	1822	2530	3598	2549	2254
gene181	CP007536.1	163206	164114	-	909	1683	1168	954	1347	1114	969	1060	1649	808	773
gene182	CP007536.1	164587	165042	-	456	0	0	0	0	0	136	299	270	117	153
gene183	CP007536.1	164987	165193	-	207	0	0	0	0	0	6	6	1	3	0
gene184	CP007536.1	165190	166833	-	1644	44	0	66	0	0	955	1026	1079	796	708
gene185	CP007536.1	167077	167436	+	360	0	0	58	0	0	182	399	287	214	169
gene186	CP007536.1	167437	167736	-	300	4	0	23	168	226	566	633	885	452	494
gene187	CP007536.1	167842	168126	-	285	0	86	0	0	0	164	289	386	178	189
gene188	CP007536.1	168215	168463	-	249	154	70	138	0	48	182	336	465	218	162
gene189	CP007536.1	168561	169790	-	1230	6887	7050	6543	5268	4378	4121	5555	8939	4796	4683
gene190	CP007536.1	169967	170257	+	291	16	0	0	0	0	109	86	224	65	56
gene191	CP007536.1	170423	171235	-	813	1212	839	298	758	512	509	590	1624	691	532
gene192	CP007536.1	171443	171742	+	300	58	20	40	0	0	474	411	556	218	255
gene193	CP007536.1	171841	172068	-	228	0	20	0	0	7	136	36	109	40	94
gene194	CP007536.1	172145	172363	+	219	7652	8413	6470	5534	4695	1056	1256	1866	542	449
gene195	CP007536.1	172367	172858	+	492	390	492	164	2	460	282	242	409	329	322
gene196	CP007536.1	172924	173688	+	765	98	216	0	77	0	364	358	401	228	349
gene197	CP007536.1	173734	174993	-	1260	224	148	62	172	490	1199	555	847	557	700
gene198	CP007536.1	175370	175981	+	612	842	562	1036	274	1746	5591	4631	4589	2739	4007
gene199	CP007536.1	176028	177002	-	975	260	32	8	214	334	4567	2388	2651	1695	2521
gene200	CP007536.1	176989	177168	-	180	0	0	0	0	0	0	0	0	0	0
gene201	CP007536.1	177149	177988	+	840	156	212	156	92	226	3038	1343	1466	804	1514
gene202	CP007536.1	178067	178903	+	837	0	30	0	0	0	311	375	593	286	383
gene203	CP007536.1	178948	179391	+	444	132	0	18	0	0	887	985	867	428	723
gene204	CP007536.1	179477	179614	+	138	191	178	0	339	229	511	526	444	233	318
gene205	CP007536.1	179677	179895	+	219	34	10	6	71	0	747	948	971	406	676
gene206	CP007536.1	180363	180749	+	387	158	78	114	52	0	2689	2474	3649	1937	1972
gene207	CP007536.1	180746	181174	-	429	105	199	136	164	0	1755	2264	3822	2264	2107
gene208	CP007536.1	181187	181747	+	561	252	27	53	14	95	1738	1228	1116	345	575
gene209	CP007536.1	181758	182171	+	414	6	0	0	136	15	1117	1167	682	311	548
gene210	CP007536.1	182211	182678	+	468	535	640	700	1008	563	3880	2438	3800	1523	2527
gene211	CP007536.1	182805	184037	+	1233	335	79	60	194	345	2807	2509	3927	2318	2896
gene212	CP007536.1	184034	185332	-	1299	110	48	138	35	0	1058	991	1490	991	1002
gene213	CP007536.1	185353	185799	+	447	0	0	0	54	0	411	476	408	229	167
gene214	CP007536.1	186180	186467	-	288	0	0	0	0	0	152	147	168	102	126
gene215	CP007536.1	186927	187247	-	321	0	0	0	0	0	33	37	22	9	26
gene216	CP007536.1	187508	187780	-	273	0	0	0	0	0	0	0	0	0	0
gene217	CP007536.1	187518	187919	-	402	0	0	0	0	26	7	143	42	0	14
gene218	CP007536.1	188301	188501	-	201	0	0	0	0	0	369	242	176	61	85
gene219	CP007536.1	188660	189286	+	627	8	0	14	0	0	113	101	148	61	93
gene220	CP007536.1	189283	189645	-	363	2283	1212	1450	1151	380	1804	1984	2154	1383	1638
gene221	CP007536.1	189636	189815	-	180	0	0	0	0	0	220	213	426	139	169
gene222	CP007536.1	189893	191737	-	1845	248	8	247	90	0	1606	1706	3104	1612	1668
gene223	CP007536.1	192041	192529	+	489	1308	902	462	337	2150	5177	3692	5429	3844	5399
gene224	CP007536.1	192526	193314	-	789	15833	16978	10381	9148	11532	24577	19052	16233	7803	13968
gene225	CP007536.1	193238	193876	+	639	14	102	118	0	0	361	253	267	110	241
gene226	CP007536.1	193891	194364	-	474	156	265	74	122	0	1993	1017	1902	739	1352
gene227	CP007536.1	194385	194597	-	213	0	0	0	0	0	24	10	29	8	28
gene228	CP007536.1	194678	194863	+	186	0	0	0	0	0	0	0	8	2	0
gene229	CP007536.1	194909	195736	-	828	857	1074	562	623	870	669	720	948	426	710
gene230	CP007536.1	196053	198353	+	2301	1992	2666	1307	783	2361	15965	7618	7924	4560	9355
gene231	CP007536.1	198487	199680	+	1194	94	0	35	0	136	469	557	890	584	388
gene232	CP007536.1	199730	200152	+	423	562	257	236	118	264	2876	5091	5547	2249	2086
gene233	CP007536.1	200258	200938	-	681	71533	57698	72431	59860	65352	42073	30759	31521	18955	28559
gene234	CP007536.1	200994	201170	-	177	49	41	0	156	0	676	854	566	282	452
gene235	CP007536.1	201355	201543	+	189	0	0	0	0	0	545	587	522	247	438
gene236	CP007536.1	201540	201875	-	336	82	82	126	0	72	768	663	746	197	282
gene237	CP007536.1	201920	202147	-	228	0	0	0	2	0	391	200	83	97	119
gene238	CP007536.1	202178	203470	-	1293	32	0	0	0	0	580	416	407	199	342
gene239	CP007536.1	203471	204412	+	942	212	416	337	154	492	2712	1600	1808	981	1936
gene240	CP007536.1	204426	204752	+	327	200	180	0	0	180	2811	2996	3634	2030	2325
gene241	CP007536.1	204758	205090	+	333	69	0	2	0	204	2046	1960	2769	1607	1952
gene242	CP007536.1	205116	205679	-	564	236	89	138	736	425	776	659	583	363	735
gene243	CP007536.1	205986	206687	+	702	455	412	264	264	124	6792	5382	4702	2190	3685
gene244	CP007536.1	206684	207310	+	627	140	388	90	281	316	3837	2271	2412	1083	1799
gene245	CP007536.1	207311	208429	+	1119	392	752	945	972	439	5025	3214	3397	1903	2624
gene246	CP007536.1	208422	208787	-	366	50	155	72	62	2	1891	2031	2318	1155	1198
gene247	CP007536.1	208830	209438	-	609	10	0	46	0	0	154	251	176	84	239
gene248	CP007536.1	209442	210053	-	612	572	447	556	253	514	2133	1589	2314	1159	2043
gene249	CP007536.1	210095	210355	-	261	87	92	152	333	0	571	583	597	296	411
gene250	CP007536.1	210363	211352	-	990	415	336	304	0	0	7403	6137	6797	3424	5555
gene251	CP007536.1	211491	212999	+	1509	4817	3289	4682	4527	2161	13914	11994	19524	11836	12832
gene252	CP007536.1	213123	213308	+	186	16	0	0	0	0	146	282	245	71	75
gene253	CP007536.1	213312	214478	-	1167	171	0	0	83	4	5830	4865	5698	3028	4103
gene254	CP007536.1	214562	214792	+	231	0	0	63	0	0	372	686	352	99	174
gene255	CP007536.1	214805	215677	-	873	66	152	268	0	92	1931	1552	1380	596	1068
gene256	CP007536.1	215896	215994	+	99	0	0	0	0	0	0	0	0	0	0
gene257	CP007536.1	215973	216350	+	378	0	0	0	0	0	52	67	84	26	72
gene258	CP007536.1	216610	216924	+	315	146	146	290	2	560	1982	1628	2100	1015	1694
gene259	CP007536.1	216934	217764	-	831	262	162	272	0	66	7289	4557	5187	3236	4669
gene260	CP007536.1	217950	218258	+	309	0	0	0	0	0	233	424	465	188	189
gene261	CP007536.1	218261	218446	-	186	66	22	110	158	27	650	1268	1651	669	626
gene262	CP007536.1	218570	218818	-	249	76	0	0	76	0	248	212	222	133	161
gene263	CP007536.1	218918	219325	+	408	0	102	24	128	0	2740	1899	1967	985	1116
gene264	CP007536.1	219358	219537	+	180	0	0	0	0	0	107	163	200	66	82
gene265	CP007536.1	219708	219872	-	165	84	0	2	0	0	255	402	266	121	176
gene266	CP007536.1	219865	220023	-	159	0	0	0	0	0	0	0	0	0	0
gene267	CP007536.1	220124	220954	-	831	90	0	0	0	0	46	62	64	36	44
gene268	CP007536.1	221026	222069	-	1044	12	80	0	124	0	2186	2481	3691	1655	2242
gene269	CP007536.1	222170	222631	-	462	1520	894	1777	518	989	26475	20127	22826	9394	17182
gene270	CP007536.1	222678	224309	-	1632	2529	1643	2666	3918	2700	56239	32008	39534	23384	34888
gene271	CP007536.1	224287	224907	-	621	1251	1326	748	1381	94	16886	12457	13879	7280	11505
gene272	CP007536.1	224949	225521	-	573	78	96	100	0	0	2394	1942	1768	563	1000
gene273	CP007536.1	225475	226566	-	1092	1153	1354	1201	774	2559	3088	1875	2559	1330	2455
gene274	CP007536.1	226585	227730	-	1146	631	297	587	396	222	7148	5054	5490	3780	5590
gene275	CP007536.1	227740	228618	-	879	933	866	636	187	1270	9664	12298	12528	5656	7484
gene276	CP007536.1	228615	228782	-	168	23	44	0	2	348	386	466	582	270	249
gene277	CP007536.1	228789	230015	-	1227	2566	2971	1798	567	2516	7084	16146	15424	10450	10159
gene278	CP007536.1	230175	231653	-	1479	54	94	116	94	608	5328	3337	4217	2400	3662
gene279	CP007536.1	231771	232058	+	288	2	0	0	0	0	978	999	1026	560	576
gene280	CP007536.1	232129	232494	+	366	272	182	286	67	0	5268	3595	5352	3583	3970
gene281	CP007536.1	232500	234245	-	1746	142	38	103	0	74	840	776	941	500	604
gene282	CP007536.1	234293	235135	-	843	2987	3716	3029	1722	1788	17815	9654	10348	4675	9371
gene283	CP007536.1	235148	235507	-	360	540	550	152	210	362	1154	873	843	487	637
gene284	CP007536.1	235504	235950	-	447	0	30	37	0	132	1305	741	667	385	756
